id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,444.18,8398112083,24,9318395172.0,1888771001.0,462.75,441.22,-8.723470149431,-1.92612,-153291810.92549896,-1.79259,18926043.6466526,21000000.0,21000000.0,3785.82,-88.27907,2017-12-20T00:00:00.000Z,76.93,476.76518,2018-12-16T00:00:00.000Z,,2021-12-13T04:26:25.355Z,0.44747827106692406,-1.9261187315063055,,,
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,28.29,7429560060,25,,623226900.0,28.58,26.41,1.24,4.57076,332329549.0,4.68252,262680011.32,300000000.0,,44.01,-35.72663,2021-05-03T01:03:16.108Z,0.580608,4771.39178,2019-01-14T00:00:00.000Z,,2021-12-13T04:26:22.787Z,1.243723203118784,4.5707566536056525,,,
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,15.42,6980186747,26,15409349744.0,115033188.0,16.18,15.31,-0.280724420908,-1.78782,-113270599.80113983,-1.59683,452983861.28563094,1000000000.0,1000000000.0,44.92,-65.69149,2021-05-03T05:25:04.822Z,1.03,1395.93774,2020-09-17T01:20:38.214Z,,2021-12-13T04:27:34.764Z,-0.035957345909200036,-1.7878246705374756,,,
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,101.02,6851146432,27,27249683304.0,143341672.0,105.49,100.66,-1.751339986989,-1.70411,-111810751.61941051,-1.60579,67883707.7138017,270000000.0,270000000.0,164.9,-38.76332,2021-11-06T19:29:29.482Z,0.123718,81519.30562,2020-11-06T08:05:43.662Z,,2021-12-13T04:26:21.570Z,0.22228139647305795,-1.7041081050581246,,,
cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,23.72,6727931064,28,,331414451.0,25.02,23.6,-0.364901899393,-1.51501,-93806118.00548267,-1.37511,283927399.669977,,,44.42,-46.65412,2021-09-20T00:05:25.062Z,1.16,1942.66474,2020-03-13T02:27:44.591Z,,2021-12-13T04:26:40.121Z,0.3745057774456902,-1.5150135604235968,236.2081646808055,usd,23620.81646808055
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.267726,6586618861,29,13372517685.0,279701242.0,0.282052,0.267183,-0.004332464592,-1.59248,-104338709.10502243,-1.5594,24628332754.4229,50001802479.562,50001802479.562,0.875563,-69.46251,2018-01-03T00:00:00.000Z,0.00047612,56056.6565,2015-03-05T00:00:00.000Z,,2021-12-13T04:26:40.020Z,0.20322351823038315,-1.5924760436680532,,,
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,3973.24,6231538100,30,6231538100.0,3565759.0,4137.29,3938.11,-37.274002776201,-0.92941,-49888034.89661598,-0.79422,1568592.50304121,1568592.50304121,1568592.50304121,4829.57,-17.75711,2021-11-10T14:40:47.256Z,482.9,722.53251,2020-12-22T04:08:21.854Z,,2021-12-13T04:28:12.382Z,0.3011702278279694,-0.9294078115965804,,,
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,80.3,6020167474,31,,35005416.0,83.61,70.8,-0.791747029096,-0.97635,-89590738.06311703,-1.46635,74974556.7776676,74974556.7776676,,97.75,-17.8766,2021-11-21T12:39:57.508Z,1.89,4155.77005,2020-03-13T02:22:33.711Z,,2021-12-13T04:28:38.546Z,0.43887244281327964,-0.9763505972303138,,,
near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,10.23,5895330011,32,10247417061.0,286751684.0,11.16,10.24,-0.921323642158,-8.26204,-530518158.72999096,-8.256,575299119.381299,1000000000.0,1000000000.0,13.2,-22.42345,2021-10-26T13:09:48.238Z,0.526762,1843.62237,2020-11-04T16:09:15.137Z,,2021-12-13T04:28:36.412Z,-0.686916348770412,-8.262035686654832,,,
ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,40.84,5686833297,33,13683320854.0,69624262.0,41.89,39.91,0.599687,1.49019,95565521.0,1.70919,139295691.31874424,335165027.385972,335165027.385972,84.18,-51.50276,2021-09-09T16:59:43.151Z,1.15,3450.97216,2019-09-06T00:00:00.000Z,,2021-12-13T04:26:53.018Z,0.003970310561836993,1.4901883888708187,,,
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.083774,5587211161,34,,243372850.0,0.088231,0.083559,-0.001478593218,-1.73438,-90839608.5092144,-1.59984,66760741299.0,86712634466.0,,0.280991,-70.21611,2021-04-19T01:08:21.675Z,0.00191713,4265.37557,2020-03-13T02:29:59.652Z,,2021-12-13T04:27:08.744Z,-0.14685897889573707,-1.7343767210974095,6.307152333013234,eth,630.7152333013235
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,38.65,5270688275,35,76140401607.0,326046209.0,40.37,38.39,-1.115768976851,-2.80576,-121382974.6387577,-2.25114,136438733.0,1970994941.0,1970994941.0,236.84,-83.68456,2021-04-01T13:29:41.564Z,20.06,92.63372,2020-12-29T22:32:28.483Z,,2021-12-13T04:25:53.322Z,0.17140760101832156,-2.8057595446410852,,,
elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,256.06,5167717750,36,,131424166.0,268.31,250.04,1.83,0.72027,39364866.0,0.76759,20211610.0,20397843.0,,545.64,-53.14108,2021-11-23T10:33:26.737Z,6.51,3829.52318,2020-10-07T01:44:53.554Z,,2021-12-13T04:27:24.832Z,1.0405890421022124,0.7202667659621316,,,
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,27.41,5035734471,37,12858955694.0,151390415.0,28.91,27.11,-0.241921200647,-0.87491,-34328476.43584061,-0.67708,183750197.9,469213710.0,469213710.0,700.65,-96.08857,2021-05-10T16:05:53.653Z,24.29,12.82202,2021-12-04T05:33:43.785Z,,2021-12-13T04:25:48.573Z,0.15237895780014526,-0.8749099076331461,,,
the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942,5.35,4881000222,38,16031933314.0,909669745.0,5.58,5.19,0.089639,1.70439,93880723.0,1.96111,913364619.2233225,3000000000.0,3000000000.0,8.4,-36.33151,2021-11-25T06:04:40.957Z,0.02897764,18349.09865,2020-11-04T15:59:14.441Z,,2021-12-13T04:26:57.871Z,0.14608443701954535,1.7043851190623147,,,
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,37.08,4865797927,39,7790625052.0,284820668.0,38.36,36.75,-0.577414757752,-1.53348,-77388249.0684948,-1.56555,131597094.764007,210700000.0,210700000.0,167.09,-77.87108,2021-05-06T18:34:22.133Z,0.615038,5911.69265,2016-07-25T00:00:00.000Z,,2021-12-13T04:26:40.992Z,0.37830485212053033,-1.5334842318847175,81.39191968013982,usd,8139.191968013983
decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,3.49,4627605900,40,7648758548.0,539249363.0,3.67,3.46,-0.135788135225,-3.74643,-194630994.98271465,-4.03611,1327372145.9864838,2193952827.32015,2193952827.32015,5.85,-40.41364,2021-11-25T10:04:18.534Z,0.00923681,37643.46367,2017-10-31T00:00:00.000Z,,2021-12-13T04:26:30.407Z,-0.27623134247977693,-3.7464254140279083,173.4341866888989,usd,17343.41866888989
cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02175031,4603731280,41,,767590.0,0.02188452,0.02156602,-2.620482e-05,-0.12034,-8787491.573130608,-0.19051,211738881377.981,211738881377.981,,0.03159087,-31.16675,2020-10-12T21:29:00.007Z,0.00728854,198.34519,2020-03-18T04:29:40.819Z,,2021-12-13T04:27:07.979Z,-0.18649590576963998,-0.12033522621752919,,,
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.25048,4576124505,42,,33726214.0,0.259211,0.246076,-0.000506662589,-0.20187,-13927208.613972664,-0.30342,18287622674.0,50000000000.0,,0.569229,-56.04041,2021-09-15T10:40:28.318Z,0.00986111,2437.55087,2020-01-02T17:30:24.852Z,,2021-12-13T04:26:59.264Z,0.6766968283692362,-0.20186809066928146,,,
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,4.32,4318364852,43,,99229096.0,4.51,4.28,-0.032832314847,-0.75357,-33461122.777246475,-0.7689,1000000000.0,1000000000.0,,15.72,-72.52899,2021-04-16T13:15:11.190Z,0.04039979,10589.07626,2020-03-13T02:24:16.483Z,,2021-12-13T04:27:34.840Z,0.580738193977893,-0.7535653306809816,27.82731868382504,usd,2782.731868382504
gala,gala,Gala,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1600233435,0.555309,4186854579,44,27755097659.0,1265431871.0,0.619195,0.546884,-0.061375656899,-9.95252,-387443941.99307775,-8.47002,7542496572.319239,36343760935.5997,50000000000.0,0.824837,-32.70078,2021-11-26T01:03:48.731Z,0.00013475,411856.42365,2020-12-28T08:46:48.367Z,,2021-12-13T04:28:26.097Z,-0.1198331645894708,-9.95251653971628,,,
magic-internet-money,mim,Magic Internet Money,https://assets.coingecko.com/coins/images/16786/large/mimlogopng.png?1624979612,0.992562,3962712364,45,,174238927.0,1.01,0.984523,-0.006624272728,-0.66297,-1875759.2927880287,-0.04731,3969748141.24997,3969748141.24997,,1.04,-4.68119,2021-10-06T13:25:17.751Z,0.919196,7.95534,2021-12-04T05:29:56.806Z,,2021-12-13T04:26:58.067Z,-1.3758338302128281,-0.6629666994076333,,,
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02239064,3794684320,46,,11427177.0,0.0225412,0.02223434,-2.8760253e-05,-0.12828,10549303.0,0.27878,169548127951.318,169548127951.318,,0.058843,-61.96046,2020-10-21T11:24:27.820Z,0.00620705,260.61813,2021-03-04T08:11:37.438Z,,2021-12-13T04:28:36.533Z,-0.15332562772146824,-0.12828288507917612,,,
tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,4.37,3792900023,47,,117298846.0,4.68,4.32,-0.068369680994,-1.54186,-46058425.84314299,-1.19976,869628962.776401,,,9.12,-52.15572,2021-10-04T00:41:18.025Z,0.350476,1144.45479,2018-12-07T00:00:00.000Z,,2021-12-13T04:26:59.296Z,0.9717615061378674,-1.5418648059019455,8.289043700841308,usd,828.9043700841308
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,1.43,3639721158,48,4547587611.0,211594797.0,1.55,1.43,-0.038406577567,-2.60967,-95046326.57973337,-2.54491,2541152731.01,3175000000.0,3175000000.0,3.46,-58.58665,2021-10-28T05:19:39.845Z,0.00190227,75194.84512,2020-03-13T02:25:38.280Z,,2021-12-13T04:26:50.243Z,-0.04068575914005074,-2.60967282200103,46.77647633993567,usd,4677.647633993567
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.72,3494800816,49,,586793.0,3.74,3.62,-0.012811064702,-0.34365,-7530343.074027061,-0.21501,939688373.9,985239504.0,,3.95,-5.71676,2021-05-14T13:54:31.192Z,0.799859,365.03108,2019-12-24T15:14:35.376Z,,2021-12-13T04:27:22.669Z,-0.451248060453484,-0.34365016372550544,,,
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,192.4,3465098319,50,,108619302.0,201.44,191.79,-1.475157029457,-0.76086,-30603734.01202488,-0.87547,18043154.84793,,,542.33,-64.57175,2018-01-09T00:00:00.000Z,0.216177,88779.36737,2015-01-14T00:00:00.000Z,,2021-12-13T04:27:24.422Z,0.2585062337650548,-0.7608644405427303,,,
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.32,3359382747,51,,16071831.0,1.38,1.31,-0.0412730088,-3.03953,-105611057.8069892,-3.04794,2552956700.2,,,4.34,-69.67258,2021-03-30T03:44:28.828Z,0.06044,2077.18271,2020-04-29T08:19:34.574Z,,2021-12-13T04:27:26.314Z,0.37968600448110557,-3.0395315250748483,,,
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.664975,3293294270,52,6643932010.0,77962425.0,0.69488,0.6583,-0.007729546571,-1.14903,-35369413.05095625,-1.06257,4956845231.0,10000000000.0,10000000000.0,2.84,-76.60826,2021-02-12T07:28:45.775Z,0.103254,543.72841,2020-12-17T21:28:41.332Z,,2021-12-13T04:26:32.858Z,0.228139459956451,-1.1490256781042774,,,
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,3.23,3145345913,53,,541717427.0,3.46,3.19,-0.230294509749,-6.66446,-229313450.74697733,-6.79516,977160070.1228,,,22.71,-85.82703,2018-04-29T07:50:33.540Z,0.5024,540.69697,2017-10-23T00:00:00.000Z,,2021-12-13T04:26:26.565Z,0.6448692101951796,-6.664461237993168,2.2578447327435334,usd,225.78447327435333
iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.11,3088127537,54,,39942622.0,1.15,1.11,-0.018395217047,-1.62812,-44900586.491950035,-1.43314,2779530283.277761,2779530283.0,,5.25,-78.83265,2017-12-19T00:00:00.000Z,0.081637,1260.93019,2020-03-13T02:22:41.168Z,,2021-12-13T04:26:57.044Z,0.040235769231184014,-1.6281240837321662,15.978963201634187,btc,1597.8963201634187
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,11.91,3038044318,55,,116848459.0,12.11,11.2,0.664732,5.90964,249329049.0,8.94064,254874466.253058,,,43.96,-72.88781,2021-04-30T10:08:22.934Z,0.194441,6030.28933,2020-11-03T14:29:34.165Z,,2021-12-13T04:27:33.624Z,0.13122090754220825,5.909644187837378,,,
loopring,lrc,Loopring,https://assets.coingecko.com/coins/images/913/large/LRC.png?1572852344,2.42,3012079916,56,3322772109.0,201060276.0,2.48,2.33,0.02018265,0.84127,26846873.0,0.89932,1245991468.94246,1373873440.44246,1374513896.0,3.75,-35.51174,2021-11-10T14:59:53.164Z,0.01963893,12213.33616,2019-12-18T13:14:41.553Z,,2021-12-13T04:26:28.606Z,-0.02494844571784629,0.8412718211994688,39.32078862186657,usd,3932.078862186657
bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.003225,3004345885,57,,485382751.0,0.00346471,0.0031977,-0.000239705147,-6.91848,-217845596.96986055,-6.76079,932497500000.0,990000000000.0,,0.01356626,-76.25118,2021-04-05T04:09:06.433Z,0.00013814,2232.24269,2020-03-13T02:22:57.629Z,,2021-12-13T04:26:48.018Z,0.39552132429058706,-6.918477292135797,25.875037075466874,usd,2587.5037075466876
helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,29.07,2918332900,58,6472969629.0,9690317.0,30.28,28.61,-0.174544248095,-0.59678,-11026713.868556023,-0.37642,100539361.984279,223000000.0,223000000.0,54.88,-47.1058,2021-11-12T23:08:25.301Z,0.113248,25531.23227,2020-04-18T00:19:10.902Z,,2021-12-13T04:27:24.258Z,0.5701345012494258,-0.5967816810009403,,,
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,9.02,2856032033,59,,43077875.0,9.41,8.97,-0.378826246117,-4.02844,-109207487.59880781,-3.68292,316835587.0,1393082413.50733,,42.4,-78.73103,2021-04-05T13:49:10.098Z,4.95,82.17049,2021-01-27T15:34:04.000Z,,2021-12-13T04:27:26.452Z,0.3712607005304318,-4.0284374422815326,,,
